Site,Date,ET_pure_ICOS,ET_LST_Landsat,ET_Groupe_ERA5
Borgo Cioffi,2023-09-11,0.1545445056728676,0.0,0.12994810574197074
Borgo Cioffi,2023-09-27,0.2001104964686363,0.0,0.12898970599785994
Borgo Cioffi,2023-10-05,0.0810778243113099,0.0,0.037040590333348354
Borgo Cioffi,2023-10-29,0.141194122948323,0.0,0.04864984806457962
Borgo Cioffi,2023-11-06,0.0,0.0,0.08857078400215197
Borgo Cioffi,2023-11-22,0.0140635705341352,0.0,0.0
Borgo Cioffi,2023-12-08,0.0463629646724751,0.0,0.08201854257313121
Borgo Cioffi,2023-12-16,0.2819293215303192,0.0,0.0
Grignon,2022-01-01,0.1701861954198564,0.0,0.0776978530452829
Grignon,2022-02-09,0.3201829471438732,0.0,0.0
Grignon,2022-02-25,0.3910763578584509,0.0,0.1810174042436364
Grignon,2022-02-26,0.3516808121998373,0.0,0.19098980701109702
Grignon,2022-03-06,0.3186150314798143,0.0,0.1477275640824747
Grignon,2022-03-21,0.6165213544190025,0.0,0.28584236160982596
Grignon,2022-03-22,0.517957269977278,0.18710875580127712,0.3395680583827802
Grignon,2022-04-14,0.7719154413992969,0.14176323183941025,0.3509030619622751
Grignon,2022-04-15,0.6636419402790561,0.4829797420834874,0.4432995817981164
Grignon,2022-04-22,0.6988922345175274,0.14650557062630348,0.4884818388822712
Grignon,2022-04-30,0.6361405094720982,0.0,0.24253470607901395
Grignon,2022-05-09,0.7844776292979233,0.2195758710661837,0.5930991749042493
Grignon,2022-05-16,0.7780322457781131,0.0,0.5534012213157729
Grignon,2022-05-17,0.7895000938867421,0.12186851147706394,0.5743407846892885
Grignon,2022-06-18,0.5425218174727774,0.40550730344133373,0.4113106759522851
Grignon,2022-07-04,0.408456879871136,0.21970922690165595,0.3061324202172687
Grignon,2022-07-11,0.1608516099622926,0.0,0.1588929492697897
Grignon,2022-07-12,0.2414764110763038,0.0,0.09071877894795798
Grignon,2022-08-12,0.0204520050354498,0.0,0.07727047251921666
Grignon,2022-08-29,0.0220174880375646,0.0,0.03421567318407158
Grignon,2022-09-30,0.3061596904937873,0.048176866424585935,0.20080636100651528
Grignon,2022-10-07,0.2065749871549895,0.0,0.07897793213009942
Grignon,2022-10-31,0.3018462132807459,0.0,0.1366262591197562
Grignon,2022-11-01,0.2989125013022412,0.0,0.1984307839098639
Grignon,2022-11-24,0.1974855080065435,0.0,0.05752279454865949
Grignon,2022-11-25,0.1590697917561628,0.0,0.10745005698109968
Grignon,2022-12-27,0.1703279897044629,-0.015870897519139664,0.0
Grignon,2023-01-11,0.1806493955031219,,0.024944356221401204
Grignon,2023-02-13,0.1756852618864592,0.0,0.0
Grignon,2023-04-09,0.4391840775555988,0.13025779969915235,0.228416750151594
Grignon,2023-05-03,0.6279016041262333,0.009929164221853169,0.4356823415151866
Grignon,2023-05-19,0.6604164611926389,0.3320744157812063,0.47243885596717955
Grignon,2023-05-20,0.6077059814516098,0.05814818488119466,0.4217368685976991
Grignon,2023-05-27,0.678329925736234,0.06641891195306873,0.5118465172714514
Grignon,2023-05-28,0.6092480752053984,0.16534695035466396,0.5398968325516152
Grignon,2023-06-04,0.5773045489058636,0.09376387733297364,0.40785612512922303
